a52dec 0.8.0-2
libbsd 0.12.2-2
libcamera 0.3.1-2
libcamera-ipa 0.3.1-2
libcanberra 1:0.30+r2+gc0620e4-4
libcdr 0.1.7-8
libcloudproviders 0.3.6-1
libcmis 0.6.2-1
libcolord 1.4.7-2
libdatachannel 0.21.2-1
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdca 0.0.7-2
libdecor 0.2.2-1
libdeflate 1.21-1
libdmtx 0.7.7-2
libdovi 3.3.1-1
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-16
libebml 1.4.5-1
libepubgen 0.1.1-5
libetonyek 0.1.10-4
libexif 0.6.24-3
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libfreeaptx 0.1.1-2
libfreehand 0.1.2-5
libgirepository 1.80.1-3
libgtop 2.41.3-2
libgusb 0.4.9-1
libiec61883 1.2.0-8
libixion 0.19.0-2
libjuice 1.5.1-1
libjxl 0.10.3-1
libkexiv2 24.05.2-1
libkscreen 6.1.4-1
libksysguard 6.1.4-1
liblangtag 0.6.7-1
liblc3 1.1.1-1
libldac 2.0.2.3-2
libmad 0.15.1b-10
libmalcontent 0.12.0-1
libmatroska 1.7.1-2
libmbim 1.30.0-1
libmd 1.1.0-2
libmfx 23.2.2-3
libmodplug 0.8.9.0-6
libmpcdec 1:0.1+r475-6
libmpdclient 2.22-1
libmpeg2 0.5.1-10
libmspub 0.1.4-16
libmtp 1.1.21-2
libmwaw 0.3.22-3
libmysofa 1.3.2-1
libnice 0.1.22-1
libnotify 0.8.3-1
libnumbertext 1.0.11-2
libodfgen 0.1.8-3
libopenmpt 0.7.9-1
liborcus 0.19.2-2
libpagemaker 0.0.4-4
libpipewire 1:1.2.2-2
libplacebo 7.349.0-1
libplasma 6.1.4-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.2.0.1-1
libqmi 1.34.0-1
libqrtr-glib 1.2.2-3
libqxp 0.0.2-12
libraw1394 2.1.2-4
libreoffice-fresh 24.2.5-2
librevenge 0.0.5-3
libsamplerate 0.2.2-3
libsigc++ 2.12.1-1
libsixel 1.10.3-6
libslirp 4.8.0-1
libsoup 2.74.3-1
libsoxr 0.1.3-4
libspeechd 0.11.5-2
libsrtp 1:2.6.0-1
libssh 0.11.0-2
libstaroffice 0.0.7-3
libstemmer 2.2.0-2
libtar 1.2.20-7
libtommath 1.3.0-1
libtraceevent 1:1.8.3-1
libtracefs 1.8.1-1
libunibreak 6.1-1
libupnp 1.14.19-3
libva 2.22.0-1
libvdpau 1.5-3
libvisio 0.1.7-11
libvpl 2.12.0-1
libvpx 1.14.1-1
libwbclient 4.20.4-1
libwireplumber 0.5.5-1
libwpd 0.10.3-5
libwps 0.4.14-2
libxdp 1.4.3-1
libxfce4ui 4.18.6-1
libxfce4util 4.18.2-1
libxklavier 5.4-5
libxmlb 0.3.19-1
libxpresent 1.0.1-2
libxss 1.2.4-2
libyaml 0.2.5-3
libzmf 0.0.2-16
lilv 0.24.24-2
linux 6.10.5.arch1-1
linux-firmware 20240809.59460076-1
linux-lts 6.6.47-1
linux-lts-headers 6.6.47-1
lpsolve 5.5.2.11-3
lsof 4.99.3-2
lua51 5.1.5-12
lua53 5.3.6-3
luarocks 3.11.1-1
lv2 1.18.10-1
lxappearance 0.6.3-5
mariadb 11.5.2-1
mbedtls 3.6.0-1
mbedtls2 2.28.8-3
media-player-info 24-4
mesa-utils 9.0.0-4
milou 6.1.4-1
minizip 1:1.3.1-2
modemmanager 1.22.0-1
modemmanager-qt 6.5.0-1
mpdecimal 4.0.0-2
mpv 1:0.38.0-6
mtools 1:4.0.44-1
mujs 1.3.5-1
nano 8.1-1
nasm 2.16.03-1
ndctl 79-1
neon 0.33.0-1
neovim 0.10.1-3
nerdfetch 8.2.1-1
net-tools 2.10-2
